model_used,a2c_sr,ppo_sr,ddpg_sr
PPO,-0.06337905950971262,-0.4091063254242898,-0.2344868374026714
A2C,0.41368759941234634,0.43984429413119386,0.32655674291348213
PPO,0.11894161693039125,0.6451760541443685,0.05017698815789233
PPO,5.76750757548585,1.5317597144964292,1.9658030876748054
A2C,-0.10123811780528627,-0.25519097232100474,0.058950205370740125
DDPG,-0.6527732451595987,-0.5618390375579891,-0.5394550510668905
DDPG,-0.7937240527516343,-0.3756588949590681,0.033207423180322986
DDPG,-0.5328821762999201,-0.37983763809881166,-0.41287481027785433
PPO,-0.2130125966387109,0.26910862258895796,-0.48906441162698777
PPO,-0.6178520484787684,-0.7268119143764963,-0.574348939847813
DDPG,0.8796375481553966,-0.043007251783376936,1.525801619622364
DDPG,-0.030633632529516393,0.2902983499330173,0.7315458096577574
DDPG,-0.43648218875424527,-0.2555283045902578,-0.3577312238735459
PPO,0.404949393566601,0.2473175980128969,0.6569034240075985
DDPG,0.07353402531508471,0.5169322235452131,-0.7680455731364855
PPO,0.41727319067277036,0.58904932755543,0.03852512183843091
PPO,-0.7356214985169687,-0.40447790002526884,0.07867134009737643
DDPG,0.2663357786804385,0.608499973257399,0.5249143088459921
PPO,-0.2543832915601375,-0.8527923200517482,-0.5681807826695605
A2C,0.09357847966611163,0.3898893061235652,0.3482689369734072
PPO,1.4946908722439043,1.076105401752318,0.9891000854521225
A2C,1.082178845031203,-0.5376418903829618,-0.30790992213436846
A2C,0.0649429959343513,0.22931892264463163,0.01839858466185544
PPO,-0.5056657256764834,-0.578278949040838,-0.27345117182079487
DDPG,0.23820058472605735,0.6326135916208604,0.654903343492588
DDPG,0.9197319499949841,1.1475194573972942,0.9830904088452339
PPO,1.0715571744277805,1.2502015569384088,1.058849558692932
PPO,-0.9524180108807768,0.24331057066082393,0.28518644498536166
DDPG,-1.0012197363577648,-0.8145553329325192,-0.8474363417520174
PPO,0.4933047899218984,-0.06554126053270058,0.5501111714201559
DDPG,-0.3390749405081593,-0.38418733748459194,-0.5966559552861952
A2C,0.38579538381909023,0.16483607978851894,0.04239987519527376
A2C,0.5926406091737944,0.4999551783762661,0.28016702945522703
A2C,-1.1384369127106273,-0.9383809456421452,-0.6237731903740088
DDPG,0.6725250033867607,0.7386461959409563,0.750894940632408
DDPG,-0.6978666720579711,-0.7568889220411079,-0.5088510817056539
DDPG,0.32622989422909365,-0.22237416649398953,0.30708240880512766
A2C,-0.6750625769669227,-0.2940793767258,-0.6058625505885726
PPO,0.7379998987276672,0.7505068312463363,0.8840337225471991
DDPG,0.6286025695885958,0.5562885032728155,0.745055469980361
DDPG,-0.6262062342219578,0.06303169633332467,-0.30480902903274815
PPO,0.23016442072651097,0.4223188397555151,0.3651609495854362
PPO,-0.5902054145155953,-1.736976879718923,-1.3691250587048465
A2C,0.3648367351697324,0.6324479779501169,0.6857141616330987
DDPG,-0.36933035728486635,-0.2285709489608672,-0.3530973655083552
PPO,-0.1460431692985389,0.06391262709163127,0.04776503996077418
PPO,-0.7157503578351269,-0.6926377958266219,-0.7060445904755129
PPO,0.624636874699684,0.6251496785731168,0.6282897340359987
DDPG,0.22105067980680546,0.439194362488696,0.07907982942153054
PPO,-0.6929425179671298,-0.6996425017166058,-0.6992439568894836
A2C,-0.04553094954963439,0.2714366805111333,0.3629194166651752
DDPG,1.4691338432146637,1.3238409084212541,0.9097941546651305
A2C,1.1311855547332457,0.25963355605568633,0.630968879390759
A2C,-0.9227188532480226,-0.9549748313493277,-0.0094036938135033
DDPG,-0.7178183916815646,-0.8243319368219401,-0.7902960739099769
A2C,-0.8688627206521151,-0.05625677492735886,-0.36895492952914394
PPO,-0.35067915362093194,-0.5267531000954636,-0.16825809556482993
DDPG,0.49000538154754547,0.11196566761871517,0.5602754577480694
DDPG,0.4012767827697544,0.163534629582801,0.2699508707036431
A2C,0.5517187336747803,0.5894649701000743,0.5479500305532968
PPO,-0.80703149377369,-0.03564170079028568,-0.7655924745802543
PPO,-0.883876739769276,-0.7345101964080939,-0.7383882900207296
PPO,-1.1498664872794229,-0.30404737000651005,-0.320166836690429
PPO,0.3735690854405461,0.8071093770144487,0.5167720473776448
PPO,-0.5063796404376624,-0.6705845129127193,0.011686088909933568
DDPG,-0.4173884135405877,-0.397695052236174,-0.4065981109800233
PPO,-0.1898337930793769,-0.2583664646328603,-0.13231169111802155
DDPG,-0.8590300652305208,-0.9597271503226614,-0.7562965608512435
DDPG,0.534649594318572,0.4869081467670536,0.5007646953343037
A2C,0.47324784997165287,0.5611977865443748,0.4875432721709443
PPO,0.47110864471359565,0.5312326913795568,0.5413684968105715
DDPG,-0.5409002581672592,0.09996305515988949,0.3163435971185893
DDPG,-0.9655441402795919,-1.5940278783116195,-0.334177829442302
DDPG,-0.7489685817263951,-0.7629877453478462,-0.9382704547762313
A2C,-0.9346284444018026,-0.8831597241873665,-0.8849084331998894
PPO,0.513958510691864,0.4312346583963758,0.44956110849678244
A2C,-0.4119270626058304,-0.07067586110536911,0.04559129702592642
DDPG,-0.7118007847227228,-0.781736324988291,-0.7619146818763697
A2C,0.6087119135500858,0.6129227670846892,0.6142354158133311
DDPG,-1.1820123460493943,-1.169888834719652,-0.9851106279294336
DDPG,0.653598494093845,0.6467288125207463,0.6508749758861261
A2C,-0.6817355287113777,-0.678267991640154,-0.6744029947601061
DDPG,-0.6805708447649496,-0.6855301198101559,-0.6829636637612304
A2C,-0.7098080031630423,0.6158958652601073,-0.7980344151333892
PPO,-0.7256152277855793,-0.7194488153958418,-0.7145898031213109
DDPG,0.6198935557242616,0.6345965936259087,0.5779910374976942
PPO,0.7175615284747854,0.6274338444910119,0.5431890085633196
A2C,0.0,0.0,0.0
