,Timestamp,Money
354,2017-05-31,1018236.0240489994
355,2017-01-06,1006378.0850152681
356,2017-02-06,1002058.304011497
357,2017-05-06,1002481.829059107
358,2017-06-06,1006632.1763278542
359,2017-07-06,1003667.6280444758
360,2017-08-06,1002481.829059107
361,2017-09-06,995621.1603394516
362,2017-12-06,997908.0922626336
363,2017-06-13,989692.1908225862
364,2017-06-14,985711.2857588553
365,2017-06-15,986981.7338517939
366,2017-06-16,988082.8667896071
367,2017-06-19,976563.6766460249
368,2017-06-20,980968.1067573656
369,2017-06-21,985287.7607112455
370,2017-06-22,986642.984961645
371,2017-06-23,986558.2088041839
372,2017-06-26,985457.1944462694
373,2017-06-27,993419.0045737305
374,2017-06-28,982323.2124278664
375,2017-06-29,996129.3344946308
376,2017-06-30,990793.2051805009
377,2017-03-07,980205.7142397081
378,2017-05-07,979443.4403019494
379,2017-06-07,991640.2552757212
380,2017-07-07,983932.5279908525
381,2017-10-07,984440.7106160251
382,2017-11-07,984525.4867734862
383,2017-12-07,973937.9958326938
384,2017-07-13,971989.8043296677
385,2017-07-14,965213.9117674732
386,2017-07-17,965552.6606576222
387,2017-07-18,969957.0907689631
388,2017-07-19,964705.6105624023
389,2017-07-20,965806.7519702087
390,2017-07-21,971396.9725969252
391,2017-07-24,975123.7948180626
392,2017-07-25,968601.8580485701
393,2017-07-26,960555.3903435462
394,2017-07-27,952847.6715286709
395,2017-07-28,950306.6482929024
396,2017-07-31,944547.1125110609
397,2017-01-08,938872.2343067816
398,2017-02-08,934467.8041954408
399,2017-03-08,933027.9138974855
400,2017-04-08,928708.1413637071
401,2017-07-08,926336.5518629625
402,2017-08-08,927691.7845833551
403,2017-09-08,929301.1001463409
404,2017-10-08,945394.0355563893
405,2017-11-08,944547.1125110609
406,2017-08-14,933790.1878352442
407,2017-08-15,932180.8638022654
408,2017-08-16,929555.191458927
409,2017-08-17,952085.3975909122
410,2017-08-18,962926.9798442912
411,2017-08-21,961148.2305462812
412,2017-08-22,944631.7700886233
413,2017-08-23,951153.6983881225
414,2017-08-24,953355.8456838508
415,2017-08-25,950137.34160777
416,2017-08-28,950984.264653099
417,2017-08-29,945478.8201838431
418,2017-08-30,942599.0480579259
419,2017-08-31,937601.6591639514
420,2017-01-09,934213.7128828543
421,2017-05-09,953271.196576281
422,2017-06-09,948358.5838397676
423,2017-07-09,949544.3743551434
424,2017-08-09,948443.2414173302
425,2017-11-09,927098.94438062
426,2017-12-09,921508.7237539031
427,2017-09-13,918628.9516279858
428,2017-09-14,913885.6540465972
429,2017-09-15,912784.639688683
430,2017-09-18,906770.8855443634
431,2017-09-19,903213.5055282423
432,2017-09-20,900503.1756073413
433,2017-09-21,904145.2132010248
434,2017-09-22,906432.1451242073
435,2017-09-25,909650.6576702804
436,2017-09-26,910751.7990780869
437,2017-09-27,907109.7614844036
438,2017-09-28,903044.0717932186
439,2017-09-29,901180.6649176462
440,2017-02-10,889153.2921488914
441,2017-03-10,880683.2993962574
442,2017-04-10,879243.4090983022
443,2017-05-10,868825.3603625265
444,2017-06-10,869587.625830292
445,2017-09-10,869757.059565316
446,2017-10-10,863573.998735864
447,2017-11-10,860609.4504524851
448,2017-12-10,862981.0399532302
449,2017-10-13,859593.0936721328
450,2017-10-16,853494.6904202441
451,2017-10-17,850106.6170892555
452,2017-10-18,836469.920287522
453,2017-10-19,834860.731774427
454,2017-10-20,822325.0493306082
455,2017-10-23,826390.739021793
456,2017-10-24,812499.9593774655
457,2017-10-25,822070.9580180219
458,2017-10-26,816226.6460787191
459,2017-10-27,813516.3161578181
460,2017-10-30,820631.0761900598
461,2017-10-31,818090.052954291
462,2017-01-11,813346.8824227946
463,2017-02-11,806824.9456533026
464,2017-03-11,804961.6658276215
465,2017-06-11,803013.4743245954
466,2017-07-11,802928.8252170254
467,2017-08-11,802589.9492769854
468,2017-09-11,808857.7947338908
469,2017-10-11,811314.160392097
470,2017-11-13,809365.9688890707
471,2017-11-14,812584.6084850356
472,2017-11-15,823764.9311585708
473,2017-11-16,807248.4707009122
474,2017-11-17,820122.9020348801
475,2017-11-20,813685.7498928418
476,2017-11-21,800303.1444036942
477,2017-11-22,805046.3234051841
478,2017-11-24,802505.3001694153
